#{"t_start": 1783397271.139304, "env_id": "None"}
r,l,t
-4856.719713,1000,0.912822
-7556.844788,1000,1.063925
-6321.002783,518,1.588403
-3960.772827,376,1.640975
-3851.892885,1000,1.780992
-5063.345544,462,2.160151
-8209.84285,960,2.304163
-6405.424269,726,2.411797
-5926.146519,680,2.834248
-3780.275921,522,2.917374
-8622.661107,969,3.391265
-3887.193448,396,3.454457
-4970.688449,440,3.524307
-13804.403461,1000,3.677142
-11588.068919,1000,4.162126
-7021.935737,543,4.247563
-3215.499399,358,4.303254
-4977.791804,706,4.731521
-3665.659033,604,4.820882
-6101.670135,908,4.955631
-6220.764144,1000,5.432091
-6468.850054,1000,5.58453
-4279.62753,450,6.012957
-2657.125762,1000,6.169279
-10166.513226,912,6.650202
-4956.863213,1000,6.80144
-10749.319246,899,6.944078
-5554.855573,1000,7.409685
-4062.860158,1000,7.558814
-6294.189806,1000,8.023443
-9706.437818,1000,8.17431
-5661.093349,1000,8.63807
-9363.921514,1000,8.786834
-11051.09848,1000,9.251534
-5995.670403,782,9.369452
-7332.954403,1000,9.83767
-5021.124679,800,9.969002
-5647.498513,775,10.40724
-6480.982773,995,10.555575
-4989.020479,616,10.650114
-6250.386827,621,11.074213
-4031.939823,537,11.154596
-3004.962332,481,11.227968
-4323.616829,556,11.316203
-3904.937243,776,11.754987
-4140.948125,402,11.817511
-5657.57611,526,11.89938
-4756.372499,445,11.968291
-6136.213932,1000,12.444876
-3299.071103,415,12.509759
-8984.970475,887,12.957806
-7369.421997,857,13.085737
-11584.581428,933,13.223246
-2585.346711,1000,13.689655
-6297.683818,1000,13.845694
-6459.242471,861,14.311778
-8452.328068,1000,14.462284
-6683.610323,993,14.970933
-2421.162149,1000,15.123883
-5380.846198,899,15.584686
-4910.617333,1000,15.734994
-5201.651704,990,16.198735
-6483.065025,877,16.351003
-4828.449191,800,16.801734
-5950.324514,762,16.920797
-7177.356924,1000,17.071832
-3152.298117,420,17.450342
-6314.05941,743,17.56411
-4340.133263,712,17.675575
-6140.72561,985,18.154258
-3939.608864,489,18.230738
-4001.724323,1000,18.702937
-5391.011265,654,18.802629
-11974.81836,813,18.926123
-6505.264917,719,19.361147
-2733.083796,311,19.408544
-3189.98473,342,19.460655
-3338.395862,692,19.565758
-5065.187364,438,19.631899
-10445.734947,896,20.08371
-7439.10106,872,20.213749
-5630.655519,730,20.667698
-11613.240625,788,20.80517
-3936.812528,481,20.888451
-4876.141795,417,20.965402
-3440.865446,712,21.39394
-4476.12298,641,21.490755
-4568.269213,433,21.555423
-4816.221966,747,21.985582
-4111.774242,636,22.083366
-4664.102783,544,22.165034
-7234.732457,670,22.60967
-4711.735692,1000,22.768934
-3594.123709,533,22.848425
-2279.409559,300,23.213314
-6772.327278,608,23.305061
-6114.407044,1000,23.459232
-4510.371336,724,23.897248
-8924.880879,1000,24.048943
-5085.984,768,24.504308
-5114.130313,456,24.575644
-3128.979276,364,24.633113
-4075.696188,383,24.692212
-3714.982325,343,24.745596
-4094.778234,429,24.811874
-5965.006192,770,25.249736
-4828.581257,694,25.355013
-4247.830745,391,25.412755
-3629.042723,373,25.786828
-7980.761201,684,25.890642
-3881.163315,384,25.948817
-3671.337412,361,26.003628
-3932.077072,453,26.070755
-4192.92168,735,26.495868
-4499.648902,983,26.640357
-4245.91307,533,27.03279
-3592.96149,346,27.084817
