controller,trajectory,scenario,pos_rmse,heading_rmse,effort,compute_ms_mean,compute_ms_max
pid,circle,baseline,0.301985118861442,0.1442012997735385,16307.545805522968,0.00851441515260376,0.0956250005401671
mpc,circle,baseline,0.045107283506284374,0.011170924386236451,14900.833860280325,2.7003535940602887,31.014082953333855
ppo,circle,baseline,0.2002725832971784,0.16179446481917636,12831.411444026133,0.08559519739355892,7.218084007035941
sac,circle,baseline,0.5048870528229613,0.051507068955973234,15001.458097175304,0.11670259266975336,2.219207992311567
sac_dr,circle,baseline,0.6203581762576996,0.29840923094216587,26095.134024440187,0.11525771807646379,0.21125003695487976
pid,figure8,baseline,0.18825124856792352,0.13952733422751745,12955.661896950272,0.008932779872945199,0.04554196493700147
mpc,figure8,baseline,0.032074808833318535,0.007560365571975661,11912.105294426201,2.644309962944438,20.79895802307874
ppo,figure8,baseline,0.16962164383038814,0.12114997737604337,18032.382223888515,0.0811974165844731,0.29612501384690404
sac,figure8,baseline,0.47733185833575575,0.45877546885364295,61359.63312643783,0.115424155703901,0.2092499635182321
sac_dr,figure8,baseline,0.3547891057494463,0.49055791710209845,75905.64928532542,0.11519771785242483,0.2210829989053309
pid,waypoints,baseline,0.6580357644437388,2.281976018752974e-16,11510.39635857099,0.00854211879777722,0.03558304160833359
mpc,waypoints,baseline,0.2164891470447006,0.00012006140508506899,39837.2214897246,2.8065742167527787,21.717708033975214
ppo,waypoints,baseline,0.9736581502193571,0.4080857834541286,58069.020920711104,0.08219618338625878,0.21779100643470883
sac,waypoints,baseline,0.8268273611697926,0.21979502306354307,70339.60154874048,0.11470330724841915,0.20349997794255614
sac_dr,waypoints,baseline,0.8562604376924641,0.11142627120492349,51141.880670270344,0.11470983628532849,0.21912500960752368
pid,circle,payload,0.44240953487998613,0.20575222698687523,33280.45807346391,0.009001302561955526,0.05466700531542301
mpc,circle,payload,0.07726503062301043,0.0184237586831372,27537.737975208216,2.6720673239033204,26.130332960747182
ppo,circle,payload,0.18939100273946638,0.15882054297629536,23471.25192610046,0.08221707187476568,0.28433295665308833
sac,circle,payload,0.39519316998421194,0.4650600038504861,16762.866849059315,0.11529930660617538,0.24812499759718776
sac_dr,circle,payload,0.8746454083850522,0.5725597405129036,67270.86020402456,0.1146203757962212,0.18754205666482449
pid,figure8,payload,0.28243937806156855,0.19262509759586594,26798.028420134884,0.0088242984105212,0.04337495192885399
mpc,figure8,payload,0.052336240911371075,0.012716250480144008,22003.09674414718,2.662892109869669,21.729082975070924
ppo,figure8,payload,0.1720945182757355,0.11874289704013895,38973.50308178721,0.08120237692492083,0.21600001491606236
sac,figure8,payload,0.4596293839067671,0.401400986517028,76868.94475327445,0.11559063743334264,0.24970900267362595
sac_dr,figure8,payload,0.5430704154806502,0.4635165574240478,98741.33951707033,0.11496695794630796,0.22429204545915127
pid,waypoints,payload,0.6888184051608208,3.154555255773029e-16,15770.132643651688,0.008889476739568636,0.04333304241299629
mpc,waypoints,payload,0.27301098126108536,0.003790858843990194,58411.30385623701,2.952552708098665,22.640334034804255
ppo,waypoints,payload,1.0931055062188857,0.5073630772753006,104256.51156323813,0.08232355894870125,0.2097089891321957
sac,waypoints,payload,0.9107340528451312,0.2309692263926786,85236.00288517923,0.11615605591214262,0.1972499885596335
sac_dr,waypoints,payload,0.8912900858560673,0.15565334028043526,59099.24983248739,0.11475943098776042,0.2038750099018216
pid,circle,low_friction,0.3029361711172341,0.29151857533618686,16128.550588776376,0.008733977505471557,0.05241698818281293
mpc,circle,low_friction,0.05091534987343407,0.02254624516704326,14917.255148537955,2.7178093967959285,25.749667023774236
ppo,circle,low_friction,0.2012026323483606,0.16435888740478294,12880.589323416778,0.08193503780057654,0.28325000312179327
sac,circle,low_friction,0.39743280805619724,0.46491744201102225,9764.722536952664,0.1151852923212573,0.28199999360367656
sac_dr,circle,low_friction,0.609200454753352,0.30665273057727277,22746.776026047144,0.11562993889674544,0.2346670371480286
pid,figure8,low_friction,0.1889939744661529,0.13964934329560652,12868.448971353037,0.00889395596459508,0.04025001544505358
mpc,figure8,low_friction,0.03333722758025026,0.009288484706968409,11835.823871201841,2.6586418507698304,49.71979197580367
ppo,figure8,low_friction,0.16962164383038814,0.12114997737604337,18032.382223888515,0.08157344337087125,0.24641695199534297
sac,figure8,low_friction,0.5131275839671655,0.41465384879194167,45456.44588838174,0.11530276894336566,0.19170803716406226
sac_dr,figure8,low_friction,0.38462810915902595,0.49486517764561494,53493.94334255683,0.1153675180200177,0.21845800802111626
pid,waypoints,low_friction,0.6793681784773646,2.1484618356853722e-16,9761.482615761632,0.008749830740271136,0.03470899537205696
mpc,waypoints,low_friction,0.24076870647113782,0.000602937993615771,35472.962432650704,2.901280850288458,22.778832993935794
ppo,waypoints,low_friction,0.9345118345514537,0.4047117163873883,58955.96400961904,0.0813429924310185,0.2103750011883676
sac,waypoints,low_friction,0.876601375400593,0.22352803460650786,56058.138398872805,0.11514984714449383,0.2536250394769013
sac_dr,waypoints,low_friction,0.8073401337652498,0.21136539601897272,37671.03325178221,0.11506853200262412,0.2019170206040144
pid,circle,com_offset,0.30475907816784187,0.8064178873465258,16415.833181205122,0.008882855909178033,0.04320795414969325
mpc,circle,com_offset,0.04475928472265937,0.02799241791651925,14896.678063455794,2.67908394758706,26.427000004332513
ppo,circle,com_offset,0.20276674801118283,0.15807735124739689,12622.697718732152,0.08052076611784287,0.19108300330117345
sac,circle,com_offset,0.5062239431933674,0.053432343830433604,14973.304342803023,0.1148213550040964,0.2346250112168491
sac_dr,circle,com_offset,0.6052028337900068,0.2965822631387873,26217.37227863219,0.1147478279308416,0.20733301062136889
pid,figure8,com_offset,0.1891167756857077,0.3349489549102397,13092.075354668605,0.008736791419020545,0.04099996294826269
mpc,figure8,com_offset,0.03200059459585117,0.019430448962637806,11915.279477342623,2.6266118738761484,20.919709000736475
ppo,figure8,com_offset,0.16903492165058617,0.11927519607283715,17224.987482856643,0.08110185295421009,0.20474998746067286
sac,figure8,com_offset,0.48632223555124926,0.46366452046006157,63203.645488222064,0.11548097934185839,0.24337496142834425
sac_dr,figure8,com_offset,0.41170260782052687,0.501905248832074,70274.8339123546,0.11430221066499749,0.7064589881338179
pid,waypoints,com_offset,0.6685872280734309,0.05863245820283964,11724.199259157775,0.008457491814624518,0.11691701365634799
mpc,waypoints,com_offset,0.22025459222158744,0.04829262544917547,38244.54313361198,2.9711704303335864,56.93579203216359
ppo,waypoints,com_offset,0.9928684326937083,0.41205000965526184,69864.1939214175,0.08168939189636149,0.528833013959229
sac,waypoints,com_offset,0.8459819347973399,0.22108324229572965,73280.9735750351,0.11542548183933832,0.6659579812549055
sac_dr,waypoints,com_offset,0.861470829116927,0.11543189134651961,50896.98963883779,0.11383518020738848,0.35666697658598423
pid,circle,actuator_noise,0.3006224951386549,0.33992884189614514,20517.979032525298,0.008616284234449267,0.05466700531542301
mpc,circle,actuator_noise,0.04694728868675454,0.015991853783375826,19309.340026701797,2.6778062561061233,26.26612497260794
ppo,circle,actuator_noise,0.19999681847314318,0.16223087676644282,17253.146014806167,0.08147677170927636,0.18462503794580698
sac,circle,actuator_noise,0.39714913048364536,0.46568838242589244,15247.065139486978,0.11682276253122836,0.291000003926456
sac_dr,circle,actuator_noise,0.6123270919188574,0.2996833219683678,29090.020652633197,0.1139415483630728,0.3321249969303608
