#{"t_start": 1783431857.098685, "env_id": "None"}
r,l,t
-4223.44532,1000,4.9943
-3715.013139,655,7.951589
-5053.271418,515,10.346216
-7784.404857,915,14.433008
-8602.995113,775,17.932239
-840.490177,408,19.76345
-2229.573943,341,21.29293
-1020.973039,418,23.168417
-3801.520372,663,26.151026
-2127.010238,451,28.173115
-6337.089331,727,31.425828
-2133.104822,319,32.848513
-1929.667935,286,34.128827
-5169.50479,720,37.370743
-2379.276514,466,39.449944
-2375.407241,307,40.819952
-6090.118496,704,43.973643
-2991.486845,338,45.479733
-6128.221507,595,48.131856
-2631.580653,320,49.558878
-3006.660609,419,51.441171
-3571.236486,427,53.350823
-4539.100364,480,55.494653
-5443.298141,550,57.950435
-1383.472177,400,59.773144
-2378.753513,386,61.504063
-5406.462675,885,65.454497
-1919.213113,400,67.246862
-6431.241551,1000,71.788408
-4195.731304,1000,76.259988
-3269.126504,564,78.775174
-1759.227351,1000,83.238581
-2727.715426,457,85.28679
-4793.992525,566,87.842271
-2420.649806,422,89.73161
-2845.779287,463,91.800254
-1736.784494,266,92.991074
-2419.933282,575,95.589947
-2880.020889,544,98.026005
-2076.595788,336,99.526081
-2724.391738,1000,104.014543
-3115.492053,1000,108.481469
-3977.910025,1000,112.952974
-1870.183369,361,114.567973
-3459.376829,601,117.270131
-1566.030617,297,118.598433
-1804.884283,379,120.292395
-3299.70751,1000,124.776778
-4105.928387,499,127.034948
-1643.843302,326,128.498543
-1653.35505,279,129.820225
-1957.898918,304,131.183678
-2342.088055,1000,135.70153
-7544.245082,1000,140.197467
-2266.999339,331,141.677723
-2200.795295,351,143.248553
-1747.997031,423,145.149528
-2871.595348,341,146.675534
-3520.456484,602,149.369041
-1994.612121,288,150.652417
-2324.277468,396,152.429617
-2796.511366,1000,156.933391
-3661.31968,536,159.331123
-2766.941607,329,160.803044
-2785.562224,508,163.094106
-1533.747643,403,164.899885
-2569.63303,328,166.369237
-4178.214444,756,169.7512
-3210.144814,380,171.463006
-1884.496262,1000,175.946141
-1899.6417,291,177.249972
-1804.784093,1000,181.715502
-2483.214504,396,183.495351
-1632.797017,291,184.812611
-1808.408142,271,186.030469
-3615.395991,733,189.317426
-1936.782799,365,190.957572
-1654.897898,439,192.990251
-1626.347403,271,194.201667
-1106.677532,1000,198.675425
-2535.248861,530,201.059007
-2364.384519,519,203.383835
-3385.644606,443,205.366434
-2222.07492,606,208.077618
-2309.397343,323,209.527989
-4466.962479,529,211.899173
-1765.735522,309,213.282879
-2342.229713,803,216.899048
-2247.072724,886,220.875714
-2087.96334,361,222.490087
-1336.487114,1000,226.966462
-2096.656569,351,228.534801
-3324.313763,401,230.333822
-1570.728081,461,232.402767
-1978.182296,425,234.303721
-2091.45445,338,235.816273
-2274.475667,488,238.013481
-1996.901281,348,239.566564
-1233.406528,1000,244.032163
-1250.560906,1000,248.526911
-1808.237632,400,250.390182
-2095.714223,766,253.817002
-1581.958423,427,255.72537
-1353.617989,420,257.606883
-1928.258587,432,259.552538
-3236.056451,387,261.322273
-1917.630378,422,263.214674
-1748.851471,386,264.94056
-2699.55849,760,268.360028
-1829.278858,344,269.899982
-4716.783653,986,274.308118
-3571.506859,765,277.742229
-4389.85326,472,279.867858
-1950.2199,529,282.23999
-6094.999088,751,285.620126
-6865.477852,1000,290.079929
-3252.780493,1000,294.553822
-5519.535703,630,297.379705
-1629.900765,400,299.169978
-1585.728286,434,301.113738
-2970.783165,476,303.256493
-4208.593261,893,307.261127
-4517.748911,773,310.73262
-3084.98191,509,313.001667
-3024.138269,598,315.67355
-2165.058876,1000,320.126675
-1083.568167,1000,324.583797
-6019.880325,900,328.555165
-3130.539334,578,331.110526
-4488.578123,670,334.11778
-4469.961088,791,337.659168
-3964.184611,639,340.48966
-2272.857625,1000,344.953057
-2929.448939,625,347.737193
-3478.721781,617,350.487428
-4050.425963,679,353.510215
-3302.977085,601,356.201869
-3803.689488,647,359.089973
-1697.980632,436,361.06346
-660.921062,1000,365.541041
-2130.891,456,367.588861
-948.086749,1000,372.048894
-587.018355,1000,376.505908
-596.296442,1000,380.955632
-2616.998975,865,384.826402
-4645.659264,530,387.188318
-504.495381,1000,391.660718
-919.899375,1000,396.145997
-1378.915481,1000,400.623506
-1325.26905,1000,405.088341
-865.674434,1000,409.549574
-2277.036147,1000,414.01424
-1298.494572,1000,418.514567
-694.569758,1000,422.970276
-915.327135,1000,427.442497
-1054.315387,1000,431.988825
-1035.956739,1000,436.46598
-2068.774699,469,438.58782
-2121.732504,522,440.917673
-4126.190514,687,443.978295
-3601.985684,1000,448.448558
-840.920602,1000,452.913212
-3905.433366,830,456.63679
-3814.212786,887,460.591394
-1099.122924,1000,465.088761
-1222.27652,1000,469.541871
-664.367603,1000,474.000644
-838.734141,1000,478.437319
-386.927819,1000,482.896826
-5462.807825,1000,487.449303
-426.025876,1000,492.004356
-1973.414986,1000,496.465172
-3217.649815,1000,500.928956
-986.437736,1000,505.386489
-2044.207758,1000,509.842565
-2372.872359,358,511.437394
-2481.662444,930,515.596791
-1793.015726,1000,520.084795
-3419.02551,1000,524.538174
-2722.489023,1000,528.958647
-1338.298298,1000,533.433221
-1651.865927,1000,537.889555
-1530.164159,492,540.082741
-425.279504,1000,544.500581
-2469.210755,919,548.686341
-899.511675,1000,553.175593
-1677.531353,1000,557.62834
-2220.775248,1000,562.096678
-340.949268,1000,566.565746
-953.494099,1000,571.027794
-1334.645957,1000,575.535555
-492.121609,1000,580.020109
-1552.903519,1000,584.500251
-1214.634501,1000,588.956534
-2124.380493,1000,593.422836
-1277.347451,1000,597.886274
-2250.390783,1000,602.391984
