#{"t_start": 1783397579.1472902, "env_id": "None"}
r,l,t
-7109.367742,892,3.516421
-4705.966454,1000,7.968657
-3739.196028,456,9.962294
-2446.252279,340,11.450955
-7927.813049,791,15.009142
-4499.350016,637,17.804221
-2987.016898,430,19.837054
-6757.465233,1000,24.568274
-1551.838512,267,25.785746
-1499.429271,254,27.030485
-1267.165328,251,28.198809
-4960.351048,634,31.210023
-4041.260774,481,33.356128
-3491.432944,447,35.479985
-3440.961409,480,37.674052
-7053.375242,595,40.371671
-2641.915827,285,41.677106
-1257.520892,182,42.520355
-1978.103624,242,43.649919
-3986.457094,400,45.433174
-1810.376847,239,46.493834
-3471.016139,358,48.060783
-1844.976517,229,49.095104
-4292.690427,471,51.140215
-2727.178427,404,52.897715
-4108.143516,622,55.661554
-1812.425779,244,56.768087
-1947.963439,248,57.874749
-1962.295927,269,59.069809
-1655.965972,259,60.198341
-2439.368659,247,61.274262
-2165.927727,328,62.731354
-1960.712966,231,63.76098
-1667.02895,214,64.694187
-1529.589912,206,65.589567
-7372.134465,691,68.87745
-1900.941182,469,71.020772
-1466.201431,298,72.419536
-2577.38766,666,75.614029
-4493.553443,646,78.583154
-2641.545288,438,80.616782
-2544.069329,327,82.085114
-3531.127406,362,83.852902
-1941.880605,273,85.060853
-1665.222409,402,86.84473
-4979.996825,437,88.818043
-2335.816179,278,90.142095
-2728.63819,299,91.534264
-4023.427361,416,93.412347
-4602.641589,469,97.617308
-2986.708177,288,99.334561
-5929.631782,601,102.563732
-2855.194929,431,104.794923
-1370.951986,238,105.976157
-4158.898387,826,109.728906
-1637.214436,227,110.790166
-2542.212119,279,112.264363
-3044.550644,457,114.43524
-1704.423434,266,115.704188
-1696.630388,618,118.599736
-3391.483866,537,121.15265
-2000.078117,465,123.333764
-5893.883333,635,126.14347
-2668.606331,495,128.643305
-2673.572152,573,131.311912
-1903.053311,302,132.650325
-2005.944713,367,134.25853
-4396.695886,594,136.911231
-3601.568954,576,139.497164
